"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 08 14:41:54 UZT 2024","Thu Feb 08 14:42:16 UZT 2024","21649","tests","test_upload_profile_image","TestUploadProfileImage","","","Set image type file as profile image: 600 x 600","This test check if user can set different  size of imag as profile image"
"failed","Thu Feb 08 14:13:29 UZT 2024","Thu Feb 08 14:16:19 UZT 2024","169948","tests","test_airport_taxi","TestAirportTaxi","","","E2E test airport taxi one way","This test checks the full cycle of functionality of airport taxi starting from searching for a taxi, added detail and payment"
"passed","Thu Feb 08 14:23:01 UZT 2024","Thu Feb 08 14:23:38 UZT 2024","36891","tests","test_changing_currency","TestChangingCurrency","","","Compare Attractions item price currency to webtise currency: EUR","Check if changin website currency affects items in Attractions Page and price/currency matches the website configuration"
"passed","Thu Feb 08 14:16:53 UZT 2024","Thu Feb 08 14:17:10 UZT 2024","17326","tests","test_booking_attractions","TestBookingAttraction","","","Find Attraction: Tokyo x Tashkent City","This test verifes if attraction exist in given location"
"broken","Thu Feb 08 14:25:14 UZT 2024","Thu Feb 08 14:26:10 UZT 2024","56683","tests","test_changing_currency","TestChangingCurrency","","","Compare Car Rental price currency to webtise currency: EUR","Check if changin website currency affects items in Car Rental Page and price/currency matches the website configuration"
"passed","Thu Feb 08 14:28:57 UZT 2024","Thu Feb 08 14:29:56 UZT 2024","59097","tests","test_changing_currency","TestChangingCurrency","","","Compare Flight price currency to webtise currency: USD","Check if changin website currency affects items in Flights Page and price/currency matches the website configuration"
"passed","Thu Feb 08 14:17:10 UZT 2024","Thu Feb 08 14:19:22 UZT 2024","132284","tests","test_car_rental","TestCarRental","","","E2E test car rental with drop off at different location","This test checks the full cycle of functionality of car rental starting from searching for a car, view deal and payment"
"passed","Thu Feb 08 14:19:29 UZT 2024","Thu Feb 08 14:20:14 UZT 2024","45712","tests","test_changing_currency","TestChangingCurrency","","","Compare Stays item price currency to webtise currency: USD","Check if changin website currency affects items in Stays Page and price/currency matches the website configuration"
"passed","Thu Feb 08 14:34:36 UZT 2024","Thu Feb 08 14:34:55 UZT 2024","19354","tests","test_registration","TestRegistration","","","Validate Password: RightPassword1 == aaaaaaaaaa","This test checks if password is correct and passes only if password satisfies requirements"
"passed","Thu Feb 08 14:34:55 UZT 2024","Thu Feb 08 14:35:25 UZT 2024","29418","tests","test_registration","TestRegistration","","","Validate Password: RightPassword1 == RightPassword1","This test checks if password is correct and passes only if password satisfies requirements"
"broken","Thu Feb 08 14:32:22 UZT 2024","Thu Feb 08 14:32:35 UZT 2024","12843","tests","test_flight_page","TestBookingFlight","","","booking Flight","step opens Flight page to order a flight to chosen country"
"passed","Thu Feb 08 14:36:53 UZT 2024","Thu Feb 08 14:37:47 UZT 2024","53513","tests","test_stays","TestStays","","","Test Stay destination: Tashkent.","The test verifies that the correct stay destinations are found for the expected search destination."
"broken","Thu Feb 08 14:39:56 UZT 2024","Thu Feb 08 14:40:39 UZT 2024","42051","tests","test_stays","TestStays","","","Test Saving stay destination: Tbilisi.","The test verifies that the stay destination is saved and displayed in Saved page."
"passed","Thu Feb 08 14:33:25 UZT 2024","Thu Feb 08 14:33:39 UZT 2024","14226","tests","test_registration","TestRegistration","","","Validate Email: MargaretDanielserin60@example.org","This test checks if email is correct and passes only if email has correct syntacsis "
"passed","Thu Feb 08 14:33:39 UZT 2024","Thu Feb 08 14:33:49 UZT 2024","9306","tests","test_registration","TestRegistration","","","Validate Password:  == ","This test checks if password is correct and passes only if password satisfies requirements"
"passed","Thu Feb 08 14:39:14 UZT 2024","Thu Feb 08 14:39:56 UZT 2024","42836","tests","test_stays","TestStays","","","Test Stay destination: Dubai.","The test verifies that the correct stay destinations are found for the expected search destination."
"passed","Thu Feb 08 14:33:58 UZT 2024","Thu Feb 08 14:34:07 UZT 2024","9307","tests","test_registration","TestRegistration","","","Validate Password: Aaaaa == ","This test checks if password is correct and passes only if password satisfies requirements"
"broken","Thu Feb 08 14:41:12 UZT 2024","Thu Feb 08 14:41:33 UZT 2024","20327","tests","test_upload_profile_image","TestUploadProfileImage","","","Set not image type file as profile image","This test check if website prevents user to upload incorrect files  as profile image"
"passed","Thu Feb 08 14:26:10 UZT 2024","Thu Feb 08 14:27:07 UZT 2024","56862","tests","test_changing_currency","TestChangingCurrency","","","Compare Airport TAXI price currency to webtise currency: USD","Check if changin website currency affects items in Airport TAXI Page and price/currency matches the website configuration"
"passed","Thu Feb 08 14:27:07 UZT 2024","Thu Feb 08 14:28:01 UZT 2024","54118","tests","test_changing_currency","TestChangingCurrency","","","Compare Airport TAXI price currency to webtise currency: JPY","Check if changin website currency affects items in Airport TAXI Page and price/currency matches the website configuration"
"broken","Thu Feb 08 14:36:13 UZT 2024","Thu Feb 08 14:36:33 UZT 2024","20334","tests","test_sign_in","TestSignIn","","","Sign In with Password: Aaaaa","This test checks if password is correct for given account"
"passed","Thu Feb 08 14:16:23 UZT 2024","Thu Feb 08 14:16:30 UZT 2024","7772","tests","test_booking_attractions","TestBookingAttraction","","","Set Booking Attractions Preconditions","This setup test opens website for further test automations"
"passed","Thu Feb 08 14:16:46 UZT 2024","Thu Feb 08 14:16:53 UZT 2024","7235","tests","test_booking_attractions","TestBookingAttraction","","","Find Attraction: Tokyo x Tokyo Tower","This test verifes if attraction exist in given location"
"passed","Thu Feb 08 14:35:47 UZT 2024","Thu Feb 08 14:35:52 UZT 2024","5188","tests","test_sign_in","TestSignIn","","","Validate Email: sally@gmail.com","This test checks if email is correct and passes only if email has correct syntacsis "
"passed","Thu Feb 08 14:34:17 UZT 2024","Thu Feb 08 14:34:36 UZT 2024","19339","tests","test_registration","TestRegistration","","","Validate Password: RightPassword1 == ","This test checks if password is correct and passes only if password satisfies requirements"
"broken","Thu Feb 08 14:32:35 UZT 2024","Thu Feb 08 14:32:46 UZT 2024","11059","tests","test_flight_page","TestBookingFlight","","","check given variants","function clicks nav bar steps to check various recommendations of web-interface"
"passed","Thu Feb 08 14:29:56 UZT 2024","Thu Feb 08 14:31:07 UZT 2024","70945","tests","test_changing_currency","TestChangingCurrency","","","Compare Flight price currency to webtise currency: JPY","Check if changin website currency affects items in Flights Page and price/currency matches the website configuration"
"passed","Thu Feb 08 14:24:35 UZT 2024","Thu Feb 08 14:25:14 UZT 2024","38619","tests","test_changing_currency","TestChangingCurrency","","","Compare Car Rental price currency to webtise currency: JPY","Check if changin website currency affects items in Car Rental Page and price/currency matches the website configuration"
"passed","Thu Feb 08 14:21:46 UZT 2024","Thu Feb 08 14:22:23 UZT 2024","37488","tests","test_changing_currency","TestChangingCurrency","","","Compare Attractions item price currency to webtise currency: USD","Check if changin website currency affects items in Attractions Page and price/currency matches the website configuration"
"passed","Thu Feb 08 14:16:38 UZT 2024","Thu Feb 08 14:16:46 UZT 2024","7322","tests","test_booking_attractions","TestBookingAttraction","","","Find Attraction: Tokyo x Skytree","This test verifes if attraction exist in given location"
"broken","Thu Feb 08 14:35:52 UZT 2024","Thu Feb 08 14:36:13 UZT 2024","20480","tests","test_sign_in","TestSignIn","","","Sign In with Password: ","This test checks if password is correct for given account"
"passed","Thu Feb 08 14:35:25 UZT 2024","Thu Feb 08 14:35:36 UZT 2024","11744","tests","test_sign_in","TestSignIn","","","Set Sign In Preconditions","This setup test opens website and navigates to Sign Page to further test automations"
"broken","Thu Feb 08 14:32:57 UZT 2024","Thu Feb 08 14:33:08 UZT 2024","11054","tests","test_flight_page","TestBookingFlight","","","check given variants","function clicks nav bar steps to check various recommendations of web-interface"
